Asunto,Mensaje,Urgencia
"Solicito tu opinión,""Me gustaría saber tu opinión sobre la propuesta que envié anteriormente."",""Medio"""
"Acción requerida: Contraseña,""Por favor, actualiza tu contraseña antes de que finalice la semana."",""Urgente"""
"Consulta sobre proyecto,""¿Podrías darme una actualización sobre el estado del proyecto?"",""Medio"""
"Revisión de políticas de seguridad,""Es hora de revisar nuestras políticas de seguridad. Por favor, consulta el documento adjunto."",""Medio"""
"Confirmación de cita,""Necesito que confirmes nuestra cita del miércoles a las 2 PM."",""Urgente"""
"Newsletter mensual,""Aquí tienes nuestra newsletter mensual con las últimas actualizaciones."",""Poco Urgente"""
"Evaluación del desempeño,""Es hora de completar la evaluación de desempeño del equipo."",""Medio"""
"Solicitud de presupuesto,""Por favor, envía el presupuesto solicitado antes del fin de semana."",""Urgente"""
"Información sobre la nueva herramienta,""Hemos lanzado una nueva herramienta que puede facilitar tu trabajo. Más detalles a continuación."",""Poco Urgente"""
"Planificación de proyecto,""Debemos planificar el proyecto antes del fin de semana."",""Urgente"""
"Recordatorio de entrega,""Recuerda enviar la entrega final del informe antes del lunes."",""Urgente"""
"Revisión de documento,""Por favor, revisa el documento que te envié ayer."",""Medio"""
"Confirmación de reunión,""Confirma tu asistencia a la reunión de estrategia para la próxima semana."",""Urgente"""
"Actualización de la base de datos,""Necesitamos actualizar la base de datos este mes."",""Medio"""
"Consulta sobre el informe,""¿Puedes explicarme algunos puntos del informe que enviaste?"",""Poco Urgente"""
"Seguimiento de tareas,""Haz un seguimiento del progreso de las tareas asignadas."",""Medio"""
"Notificación de evento,""Te notifico sobre el evento programado para este viernes."",""Urgente"""
"Revisión de políticas de empresa,""Por favor, revisa las nuevas políticas de la empresa antes de aplicarlas."",""Medio"""
"Petición de retroalimentación,""Agradecería tu retroalimentación sobre el último proyecto."",""Poco Urgente"""
"Actualización de horario,""He actualizado el horario de trabajo para este mes."",""Medio"""
"Confirmación de asistencia,""Por favor, confirma tu asistencia a la conferencia el próximo mes."",""Urgente"""
"Consulta sobre la próxima entrega,""¿Tienes información sobre la próxima entrega del proyecto?"",""Poco Urgente"""
"Recordatorio de la capacitación,""No olvides asistir a la capacitación programada para mañana."",""Urgente"""
"Verificación de inventario,""Verifica el inventario antes de hacer el pedido."",""Medio"""
"Confirmación de cita,""Confirma tu cita con el cliente para la próxima semana."",""Urgente"""
"Planificación de vacaciones,""Hablemos sobre la planificación de tus vacaciones para este año."",""Poco Urgente"""
"Cambio en los requisitos,""Hay un cambio en los requisitos del proyecto, revisa el correo."",""Urgente"""
"Seguimiento de la entrega,""Haciendo seguimiento de la entrega pendiente, ¿tienes novedades?"",""Medio"""
"Notificación de cambios en el equipo,""Se han hecho cambios en el equipo, revisa los detalles."",""Poco Urgente"""
"Solicitud de propuesta,""Por favor, envía la propuesta para el nuevo proyecto lo antes posible."",""Urgente"""
"Reunión de evaluación,""La reunión de evaluación del proyecto será el próximo lunes a las 10 AM."",""Urgente"""
"Revisión de contrato,""Es urgente que revises el contrato antes de firmarlo."",""Urgente"""
"Anuncio de lanzamiento,""Anuncio el lanzamiento del nuevo producto para el próximo mes."",""Urgente"""
"Actualización sobre el proyecto,""Por favor, actualiza sobre el estado del proyecto al final del día."",""Urgente"""
"Recordatorio de seguimiento,""No olvides hacer seguimiento a los clientes esta semana."",""Medio"""
"Consulta sobre el presupuesto,""Necesito que me des tu opinión sobre el presupuesto presentado."",""Medio"""
"Informe de progreso,""Envía el informe de progreso antes del fin de semana."",""Medio"""
"Reunión de equipo,""La reunión del equipo está programada para el miércoles a las 3 PM."",""Medio"""
"Planificación de tareas,""Planifiquemos las tareas para el próximo mes en nuestra próxima reunión."",""Medio"""
"Notificación de cambio de horario,""El horario de la reunión ha cambiado, revisa el calendario."",""Poco Urgente"""
"Recordatorio de la cita,""Te recuerdo que tienes una cita con el cliente mañana a las 2 PM."",""Urgente"""
"Solicitud de datos,""Por favor, envíame los datos requeridos antes del viernes."",""Urgente"""
"Verificación de tareas,""Asegúrate de que todas las tareas estén verificadas antes de la entrega."",""Urgente"""
"Actualización de políticas,""Por favor, revisa las actualizaciones en las políticas de la empresa."",""Medio"""
"Anuncio de reunión,""Anuncio que habrá una reunión para discutir la estrategia de marketing."",""Urgente"""
"Consulta sobre horarios,""¿Cuáles son tus horarios disponibles para la próxima reunión?"",""Poco Urgente"""
"Planificación de presupuesto,""Hablemos sobre la planificación del presupuesto para el próximo año."",""Medio"""
"Encuesta de satisfacción,""Te agradeceríamos que completes la encuesta de satisfacción del cliente."",""Poco Urgente"""
"Reunión de cierre,""La reunión de cierre del proyecto está programada para el viernes a las 4 PM."",""Urgente"""
"Confirmación de cambios,""Confirma los cambios realizados en la agenda de la reunión."",""Urgente"""
"Recordatorio de la presentación,""Recuerda que tienes que presentar el proyecto mañana a las 10 AM."",""Urgente"""
"Consulta sobre la reunión,""¿Podemos discutir los puntos clave de la reunión anterior?"",""Medio"""
"Confirmación de asistencia a la capacitación,""Confirma tu asistencia a la capacitación del jueves a las 2 PM."",""Urgente"""
"Verificación de entregables,""Por favor, verifica que todos los entregables estén listos para la revisión."",""Urgente"""
"Petición de aprobación,""Necesito tu aprobación para continuar con el proyecto."",""Urgente"""
"Recordatorio de auditoría,""Recuerda que la auditoría se llevará a cabo la próxima semana."",""Urgente"""
"Revisión del informe trimestral,""Por favor, revisa el informe trimestral antes de la reunión del viernes."",""Medio"""
"Consulta sobre el cliente,""Tengo algunas dudas sobre los requisitos del cliente."",""Medio"""
"Actualización de la estrategia,""Es importante que revisemos la estrategia antes de la reunión."",""Urgente"""
"Confirmación de la reunión,""Por favor, confirma la reunión de la próxima semana."",""Urgente"""
"Solicitud de reunión,""¿Podemos reunirnos para discutir los próximos pasos del proyecto?"",""Medio"""
"Encuesta de satisfacción del empleado,""Por favor, completa la encuesta de satisfacción del empleado."",""Poco Urgente"""
"Notificación de evento importante,""Te notifico sobre un evento importante que tendrá lugar la próxima semana."",""Urgente"""
"Planificación del lanzamiento,""Necesitamos planificar el lanzamiento del nuevo producto con anticipación."",""Urgente"""
"Consulta sobre tiempos de entrega,""¿Cuáles son los tiempos de entrega para el nuevo pedido?"",""Medio"""
"Revisión de la propuesta,""Por favor, revisa la propuesta que te envié para comentarios."",""Medio"""
"Actualización de contactos,""Asegúrate de que la lista de contactos esté actualizada."",""Poco Urgente"""
"Seguimiento de proveedores,""Haz un seguimiento de los proveedores sobre la entrega programada."",""Medio"""
"Confirmación de cambios de horario,""Por favor, confirma los cambios realizados en el horario."",""Urgente"""
"Reunión de feedback,""La reunión de feedback está programada para el jueves a las 1 PM."",""Urgente"""
"Confirmación de la reunión de cierre,""Confirma tu asistencia a la reunión de cierre del proyecto."",""Urgente"""
"Solicitud de actualización,""Necesito una actualización sobre el estado del proyecto a la brevedad."",""Urgente"""
"Revisión de especificaciones,""Por favor, revisa las especificaciones del proyecto antes de la reunión."",""Urgente"""
"Aviso de cambio de procedimiento,""Te informo sobre un cambio en los procedimientos internos."",""Medio"""
"Confirmación de entregas,""Por favor, confirma la entrega de los materiales para mañana."",""Urgente"""
"Consulta sobre la tarea asignada,""¿Tienes alguna pregunta sobre la tarea que te asigné?"",""Medio"""
"Seguimiento a clientes potenciales,""Haz un seguimiento a los clientes potenciales esta semana."",""Medio"""
"Recordatorio de actividades,""Recuerda las actividades programadas para esta semana."",""Poco Urgente"""
"Planificación de eventos,""Necesitamos planificar el evento anual con anticipación."",""Urgente"""
"Revisión de documentos de ventas,""Por favor, revisa los documentos de ventas antes de enviarlos."",""Medio"""
"Notificación de reunión,""Te notifiqué sobre la reunión programada para mañana."",""Urgente"""
"Consulta sobre resultados de ventas,""¿Cuáles son los resultados de ventas del último trimestre?"",""Medio"""
"Recordatorio de pagos,""Recuerda que los pagos deben ser procesados antes del fin de mes."",""Urgente"""
"Actualización de calendario,""Asegúrate de que el calendario esté actualizado con los eventos próximos."",""Medio"""
"Confirmación de materiales,""Confirma que los materiales necesarios estarán disponibles para el evento."",""Urgente"""
"Solicitud de feedback del cliente,""Necesitamos feedback del cliente sobre el último proyecto."",""Poco Urgente"""
"Anuncio de cambios en el equipo,""Anuncio cambios en la estructura del equipo, revisa el correo."",""Urgente"""
"Petición de recursos,""Por favor, envía los recursos necesarios para la reunión de mañana."",""Urgente"""
"Recordatorio de la evaluación anual,""No olvides la evaluación anual programada para el próximo mes."",""Urgente"""
"Consulta sobre la capacitación,""¿Tienes información sobre la capacitación programada para la próxima semana?"",""Medio"""
"Recordatorio de presupuesto,""Recuerda que el presupuesto debe ser revisado antes del viernes."",""Urgente"""
"Solicitud de firma,""Por favor, firma el contrato y devuélvelo a la brevedad."",""Urgente"""
"Confirmación de reunión de equipo,""Confirma tu asistencia a la reunión del equipo el jueves a las 10 AM."",""Urgente"""
"Actualización de estado de proyecto,""Necesitamos una actualización del estado del proyecto antes de la reunión."",""Urgente"""
"Consulta sobre las métricas,""¿Podrías proporcionar las métricas de rendimiento del último mes?"",""Medio"""
"Anuncio de reunión de estrategia,""Anuncio una reunión para discutir la estrategia de ventas el viernes."",""Urgente"""
"Revisión de materiales de marketing,""Por favor, revisa los materiales de marketing antes del lanzamiento."",""Urgente"""
"Seguimiento de tareas pendientes,""Asegúrate de que todas las tareas pendientes estén completadas antes de la revisión."",""Medio"""
"Notificación de eventos próximos,""Te notifico sobre los eventos programados para la próxima semana."",""Medio"""
"Confirmación de asistencia al evento,""Confirma tu asistencia al evento del próximo mes."",""Urgente"""
"Consulta sobre el informe de auditoría,""¿Tienes información sobre el informe de auditoría que se realizó?"",""Poco Urgente"""
"Recordatorio de fechas límites,""No olvides que hay fechas límites importantes esta semana."",""Urgente"""
"Solicitud de recursos adicionales,""Por favor, envíame recursos adicionales para completar el proyecto."",""Urgente"""
"Verificación de cumplimiento,""Asegúrate de que se cumplan todos los requisitos de cumplimiento."",""Medio"""
"Consulta sobre el cambio de estrategia,""¿Podemos hablar sobre el cambio de estrategia que propusiste?"",""Medio"""
"Notificación de vacaciones,""Te informo que estaré de vacaciones la próxima semana."",""Poco Urgente"""
"Revisión de la política de privacidad,""Por favor, revisa la política de privacidad actualizada."",""Medio"""
"Consulta sobre la planificación de eventos,""¿Podemos discutir la planificación del próximo evento?"",""Medio"""
"Recordatorio de citas,""No olvides tus citas programadas para esta semana."",""Poco Urgente"""
"Actualización sobre la campaña,""Por favor, proporciona una actualización sobre la campaña actual."",""Urgente"""
"Confirmación de la presentación,""Confirma tu asistencia a la presentación del nuevo producto."",""Urgente"""
"Solicitud de corrección,""Por favor, realiza las correcciones necesarias en el informe."",""Urgente"""
"Reunión para la revisión del proyecto,""Necesitamos reunirnos para revisar el progreso del proyecto."",""Urgente"""
"Notificación de cambio de fecha,""Te notifico que la fecha de la reunión ha cambiado a viernes."",""Urgente"""
"Consulta sobre el informe de ventas,""¿Puedes enviarme el informe de ventas del mes pasado?"",""Medio"""
"Recordatorio de la entrega,""Recuerda que la entrega de los documentos es mañana."",""Urgente"""
"Revisión del cronograma,""Por favor, revisa el cronograma de tareas para el próximo mes."",""Medio"""
"Actualización de información del cliente,""Asegúrate de que la información del cliente esté actualizada."",""Poco Urgente"""
"Consulta sobre el procedimiento de reclutamiento,""¿Cuál es el procedimiento para el reclutamiento de nuevos empleados?"",""Medio"""
"Seguimiento de correos enviados,""Asegúrate de hacer seguimiento a los correos enviados esta semana."",""Medio"""
"Revisión de políticas de trabajo remoto,""Por favor, revisa las políticas de trabajo remoto actualizadas."",""Medio"""
"Notificación de cambios en el horario laboral,""Te informo sobre los cambios en el horario laboral para el próximo mes."",""Poco Urgente"""
"Planificación de la capacitación,""Necesitamos planificar la capacitación del personal para el próximo trimestre."",""Medio"""
"Solicitud de información adicional,""Por favor, envíame información adicional sobre el proyecto."",""Urgente"""
"Confirmación de asistencia al seminario,""Confirma tu asistencia al seminario programado para la próxima semana."",""Urgente"""
"Consulta sobre cambios en el equipo,""¿Podemos discutir los cambios recientes en el equipo?"",""Medio"""
"Revisión de presupuestos,""Por favor, revisa los presupuestos propuestos antes de la reunión."",""Urgente"""
"Notificación de finalización de proyectos,""Te informo que el proyecto ha sido completado."",""Poco Urgente"""
"Recordatorio de la evaluación de desempeño,""No olvides la evaluación de desempeño programada para esta semana."",""Urgente"""
"Solicitud de asistencia técnica,""Necesito asistencia técnica para resolver un problema urgente."",""Urgente"""
"Revisión médica anual,""Tu revisión médica anual está programada para la próxima semana. Por favor, confirma tu asistencia."",""Medio"""
"Recordatorio de cita médica,""Tienes una cita médica programada para mañana a las 10:00 AM. No olvides llevar tus documentos."",""Urgente"""
"Receta médica lista,""Tu receta está lista para ser recogida en la farmacia. Recuerda pasar antes del cierre."",""Medio"""
"Pasear al perro,""No olvides sacar a pasear al perro esta tarde. Lleva su juguete favorito."",""Medio"""
"Revisión dental,""Es hora de agendar tu revisión dental semestral. Por favor, contacta a la clínica para reservar una fecha."",""Poco Urgente"""
"Visita de amigos,""Este fin de semana vienen los amigos a casa. Debemos organizar algo para la cena."",""Poco Urgente"""
"Cambio de medicación,""El doctor ha actualizado tu medicación. Por favor, recoge la nueva receta lo antes posible."",""Urgente"""
"Hora de baño,""Recuerda que es día de baño. Necesitamos reponer el gel de baño que se acabó."",""Medio"""
"Vacuna para la gripe,""Es momento de aplicarse la vacuna contra la gripe. Consulta con tu médico para agendar una cita."",""Urgente"""
"Salir con amigos,""Tenemos una salida planeada para el sábado por la noche. ¿Te gustaría venir?"",""Poco Urgente"""
"Actualización de medicamentos,""Tu tratamiento ha sido actualizado. El nuevo medicamento estará disponible para recoger en dos días."",""Medio"""
"Medicamentos para el dolor,""No olvides tomar los medicamentos para el dolor según lo recetado. Si empeoran los síntomas, contacta al médico."",""Medio"""
"Revisión médica anual,""Tu revisión médica anual está programada para la próxima semana. Por favor, confirma tu asistencia."",""Medio"""
"Paseo en el parque,""¿Te gustaría salir a dar un paseo por el parque esta tarde? Hace buen clima."",""Poco Urgente"""
"Cambio de horario para la cirugía,""Se ha cambiado el horario de la cirugía. La nueva hora es a las 8:00 AM del lunes."",""Urgente"""
"Compra de medicamentos,""Es necesario comprar los medicamentos recetados antes del fin de semana. La farmacia cierra temprano."",""Medio"""
"Cita con el fisioterapeuta,""Recuerda tu cita con el fisioterapeuta para la rehabilitación. Es importante no faltar."",""Urgente"""
"Limpieza de la casa,""Tenemos que hacer la limpieza general de la casa este fin de semana. Organízate para que podamos terminar rápido."",""Poco Urgente"""
"Resultados de análisis clínicos,""Los resultados de tus análisis están listos para ser recogidos. Puedes pasar por el laboratorio mañana."",""Medio"""
"Preparación para visita al médico,""Prepara todos tus informes médicos para la cita del próximo martes."",""Urgente"""
"Entrenamiento en el gimnasio,""Hoy toca entrenamiento en el gimnasio. No olvides llevar tu botella de agua y toalla."",""Poco Urgente"""
"Cambio de dieta,""El nutricionista ha recomendado algunos cambios en tu dieta. Nos reunimos la próxima semana para discutirlos."",""Medio"""
"Organización de una reunión familiar,""Estamos planeando una reunión familiar para el próximo mes. Ayúdanos a organizar los detalles."",""Poco Urgente"""
"Recordatorio de vacunación,""No olvides que tienes que ponerte la vacuna de refuerzo el próximo viernes."",""Urgente"""
"Nueva rutina de ejercicios,""El entrenador ha actualizado tu rutina de ejercicios. Revisa los cambios antes de la próxima sesión."",""Medio"""
"Cita con el dermatólogo,""Tu cita con el dermatólogo ha sido programada para el próximo miércoles. Lleva el historial de tratamientos previos."",""Urgente"""
"Revisión de la vista,""Es tiempo de agendar tu revisión anual de la vista. Llama a la óptica para programar una cita."",""Poco Urgente"""
"Reparación del coche,""El coche necesita una revisión en el taller. Agenda una cita para el mantenimiento este mes."",""Medio"""
"Plan para salir a cenar,""Estamos organizando una cena para el próximo viernes. ¿Quieres unirte?"",""Poco Urgente"""
"Consulta sobre análisis de sangre,""El médico necesita discutir los resultados de tus análisis de sangre. Te recomendamos que vayas lo antes posible."",""Urgente"""
"Tareas del jardín,""Este fin de semana toca cortar el césped y regar las plantas."",""Poco Urgente"""
"Chequeo de presión arterial,""Es recomendable que controles tu presión arterial semanalmente. Tómate un momento para hacerlo hoy."",""Medio"""
"Visita al cardiólogo,""Recuerda que tienes una cita con el cardiólogo mañana por la tarde. Es importante no faltar."",""Urgente"""
"Paseo con el perro,""Hoy el perro necesita un paseo más largo. Aprovecha para ir al parque."",""Medio"""
"Revisión de la vista,""Tu revisión de la vista está programada para el viernes. Lleva tus gafas para el examen."",""Medio"""
"Reunión familiar,""Este domingo tenemos reunión familiar en casa de los abuelos. No olvides traer postre."",""Poco Urgente"""
"Renovación de receta,""Debes renovar la receta del medicamento antes del fin de mes. Consulta con el médico para programar una cita."",""Urgente"""
"Preparación para viaje,""Empieza a preparar tu maleta para el viaje de la próxima semana. No olvides llevar tus medicamentos."",""Medio"""
"Cuidado de las plantas,""Es momento de regar las plantas del jardín. Hace varios días que no llueve."",""Poco Urgente"""
"Vacuna para el perro,""El perro necesita su vacuna anual. Consulta con el veterinario para agendar una cita."",""Urgente"""
"Clase de yoga,""Hoy hay clase de yoga a las 6:00 PM. No olvides llevar tu esterilla y ropa cómoda."",""Poco Urgente"""
"Cobro de intereses,""Los intereses de la tarjeta de crédito se han acumulado. Realiza el pago lo antes posible para evitar cargos adicionales."",""Urgente"""
"Pago de factura atrasado,""La factura del servicio de internet está atrasada. Por favor, realiza el pago antes del fin de semana."",""Urgente"""
"Revisión del presupuesto,""Es necesario revisar el presupuesto del proyecto para el próximo trimestre. Programe una reunión."",""Medio"""
"Actualización de tarifas,""Las tarifas para nuestros servicios han cambiado. Consulta el nuevo listado de precios."",""Medio"""
"Pago de alquiler,""El pago del alquiler está próximo a vencer. Asegúrate de realizar la transferencia antes del día 5."",""Urgente"""
"Solicitud de reembolso,""Envía los documentos necesarios para procesar el reembolso de los gastos de viaje."",""Medio"""
"Revisión de contrato,""El contrato para el nuevo proveedor necesita ser revisado y firmado. Por favor, confirma tu disponibilidad."",""Urgente"""
"Informe financiero trimestral,""El informe financiero del trimestre pasado está listo. Programemos una reunión para discutir los resultados."",""Poco Urgente"""
"Pago de suscripción,""La suscripción al servicio de software está por vencer. Renueva el pago para evitar la suspensión del servicio."",""Urgente"""
"Propuesta de negocio,""Tengo una propuesta de negocio que podría ser interesante. Hablemos para revisar los detalles."",""Medio"""
"Actualización del plan de negocios,""El plan de negocios ha sido actualizado con los cambios recientes. Revísalo antes de la próxima junta."",""Medio"""
"Pago de factura de servicios,""La factura de servicios del mes pasado está pendiente. Realiza el pago para evitar la suspensión."",""Urgente"""
"Renovación de seguro,""El seguro de salud está próximo a vencer. No olvides renovarlo antes de fin de mes."",""Medio"""
"Transferencia de fondos,""Se necesita aprobar la transferencia de fondos para el proyecto en curso. Por favor, revisa y aprueba."",""Urgente"""
"Revisión de los estados de cuenta,""Los estados de cuenta del último mes ya están disponibles. Revisa para verificar movimientos sospechosos."",""Medio"""
"Pagos de proveedores,""Asegúrate de realizar los pagos pendientes a los proveedores antes de la fecha límite."",""Urgente"""
"Negociación de contrato,""La negociación del contrato con el cliente está programada para la próxima semana. Necesitamos definir los términos."",""Medio"""
"Pago de impuestos,""El pago de impuestos está próximo. Verifica que toda la documentación esté en regla para evitar multas."",""Urgente"""
"Cotización para servicios,""La cotización para los servicios solicitados ha sido enviada. Confirma la recepción y revisa los detalles."",""Medio"""
"Reunión sobre inversiones,""Se programó una reunión para discutir nuevas oportunidades de inversión. No faltes, es importante."",""Poco Urgente"""
"Descuento por pago anticipado,""Recuerda que puedes aprovechar un descuento si realizas el pago anticipado de la suscripción anual."",""Poco Urgente"""
"Pago de la tarjeta de crédito,""La fecha límite para el pago de la tarjeta de crédito es mañana. Evita cargos adicionales realizando el pago hoy."",""Urgente"""
"Revisión de inversiones,""Las inversiones del último trimestre necesitan ser evaluadas. Programe una reunión para analizar los resultados."",""Medio"""
"Actualización del balance general,""El balance general ha sido actualizado con los últimos movimientos. Por favor, revisa y aprueba."",""Medio"""
"Pago de facturas múltiples,""Hay varias facturas pendientes de pago este mes. Asegúrate de cubrirlas antes de la fecha límite."",""Urgente"""
"Propuesta de asociación,""Recibimos una propuesta para una posible asociación comercial. Revísala y hagamos una videollamada para discutir."",""Medio"""
"Cambio de términos de crédito,""Los términos del crédito han cambiado. Es importante revisar los nuevos requisitos y condiciones."",""Urgente"""
"Recordatorio de vencimiento de seguro,""El seguro del vehículo vencerá la próxima semana. No olvides renovarlo para evitar inconvenientes."",""Medio"""
"Informe de pérdidas y ganancias,""El informe de pérdidas y ganancias del último trimestre ya está disponible. Programe una revisión con el equipo."",""Poco Urgente"""
"Renovación de contrato,""El contrato con el cliente vence este mes. Contacta al cliente para iniciar el proceso de renovación."",""Urgente"""
"Pendiente de liquidación,""Hay un monto pendiente de liquidación por los gastos del último mes. Completa el proceso a la brevedad."",""Urgente"""
"Confirmación de pago recibido,""Hemos recibido tu pago para la factura de servicios. Gracias por mantenerte al día."",""Medio"""
"Próximo pago de hipoteca,""El próximo pago de la hipoteca se debe realizar en tres días. Asegúrate de tener fondos suficientes."",""Urgente"""
"Reunión sobre estrategia financiera,""Programe una reunión para discutir la estrategia financiera del próximo año. Necesitamos definir los objetivos."",""Medio"""
"Actualización de la cuenta bancaria,""El banco ha realizado cambios en las políticas de la cuenta. Por favor, revisa los detalles para estar al tanto."",""Medio"""
"Cobro de servicios atrasados,""Tienes servicios atrasados por pagar. Realiza el pago cuanto antes para evitar la suspensión."",""Urgente"""
"Propuesta de financiamiento,""Hemos recibido una propuesta de financiamiento para el nuevo proyecto. Revísala y proporciona tu opinión."",""Medio"""
"Pago de servicios legales,""Hay una factura pendiente por los servicios legales prestados. El pago vence mañana."",""Urgente"""
"Solicitud de crédito aprobada,""Tu solicitud de crédito ha sido aprobada. Contacta al banco para proceder con los siguientes pasos."",""Poco Urgente"""
"Revisión del plan de ahorro,""Revisa el plan de ahorro y realiza los ajustes necesarios para alcanzar tus objetivos financieros."",""Medio"""
"Aumento en las tarifas de servicios,""Notificamos un aumento en las tarifas de nuestros servicios a partir del próximo mes. Revisa los nuevos precios."",""Medio"""
"Recordatorio de pago de factura,""Este es un recordatorio de que la factura de electricidad vence en dos días. Por favor, realiza el pago a tiempo."",""Urgente"""
"Confirmación de pago a proveedores,""Hemos procesado tu pago a los proveedores. Asegúrate de verificar la recepción en su cuenta."",""Medio"""
"Ajuste en el presupuesto,""Se requiere un ajuste en el presupuesto del proyecto. Revisa y presenta las modificaciones necesarias."",""Medio"""
"Actualización sobre el préstamo,""La solicitud de préstamo está en proceso. Espera una actualización en los próximos días."",""Poco Urgente"""
"Pago de servicios de marketing,""El pago por los servicios de marketing digital está pendiente. Realiza el pago para evitar interrupciones en la campaña."",""Urgente"""
"Revisión de gastos,""Es hora de revisar los gastos del último mes. Asegúrate de enviar tus informes antes de la reunión del viernes."",""Medio"""
"Consulta sobre facturación,""¿Podrías aclarar las discrepancias en la factura enviada? Es importante resolverlo pronto."",""Urgente"""
"Propuesta de inversión recibida,""Hemos recibido una nueva propuesta de inversión. Revísala y hagamos un seguimiento."",""Medio"""
"Confirmación de pago de suscripción,""Tu pago de suscripción ha sido confirmado. Gracias por tu preferencia."",""Poco Urgente"""
"Recordatorio de tratamiento,""Recuerde que debe iniciar su tratamiento a partir de mañana. Es vital para su recuperación."",""Urgente"""
"Operación de hígado,""Su operación de hígado ha sido reprogramada para el viernes 10/11. Es crucial que confirme su asistencia lo antes posible."",""Urgente"""
"Cirugía de apendicitis,""Atención: Su cirugía de apendicitis está programada para mañana a las 8:00 AM. Por favor, llegue con una hora de anticipación."",""Urgente"""
"Exámenes médicos,""Los resultados de sus exámenes médicos están disponibles. Es necesario que venga a la consulta para discutirlos lo antes posible."",""Urgente"""
"Tratamiento oncológico,""Se ha adelantado su tratamiento oncológico para este jueves. Es importante que esté presente para recibir la terapia."",""Urgente"""
"Consulta de emergencia,""Su consulta médica ha sido programada para hoy. Debe asistir debido a la gravedad de su condición."",""Urgente"""
"Cambio de medicación,""Es imperativo que recoja su nueva medicación antes del fin de semana. Su salud depende de este cambio."",""Urgente"""
"Cita para análisis,""Su cita para los análisis de sangre se ha fijado para mañana. Asegúrese de asistir, es crucial para el diagnóstico."",""Urgente"""
"Urgente: Hospitalización,""Ha sido admitido para observación médica. Por favor, asegúrese de que su familia esté informada."",""Urgente"""
"Control post-operatorio,""Su control post-operatorio se ha programado para el lunes. Es esencial para evaluar su recuperación."",""Urgente"""
"Fuego en la zona industrial,""Un fuego ha estallado en la zona industrial. Los bomberos están trabajando para controlar la situación. Mantenga la distancia."",""Urgente"""
"Incendio en el edificio,""Atención: Se ha declarado un incendio en el edificio. Evacúe inmediatamente y diríjase al punto de reunión."",""Urgente"""
"Accidente de tráfico,""Se ha producido un accidente de tráfico grave en la avenida principal. Se recomienda evitar la zona y seguir las indicaciones de la policía."",""Urgente"""
"Incendio forestal,""Alertamos sobre un incendio forestal en las cercanías. Mantenga distancia y esté atento a las instrucciones de evacuación."",""Urgente"""
"Accidente policial,""Un vehículo policial ha estado involucrado en un accidente. Se están realizando investigaciones en el lugar. Por favor, evite la zona."",""Urgente"""
"Emergencia en el hogar,""Se ha reportado un incendio en una vivienda. Los bomberos están en camino, pero se solicita a los vecinos mantenerse alejados."",""Urgente"""
"Colapso de edificio,""Ha ocurrido un colapso en un edificio. Los servicios de emergencia están atendiendo la situación. Evite la zona hasta nuevo aviso."",""Urgente"""
