urgencia	asunto	texto
Urgente	Revisión del contrato	Necesito que revises el contrato adjunto antes de firmarlo.
Medio	Actualización del estado del proyecto	El estado del proyecto está actualizado. Por favor, consulta el documento adjunto.
Medio	Consulta sobre el pago	Estoy consultando sobre el estado de un pago pendiente.
Urgente	Recordatorio: pago de factura	No olvides el pago de la factura que vence el viernes.
Poco Urgente	Planificación del evento	Estamos planificando el evento de fin de año. Más detalles pronto.
Urgente	Problema de seguridad	Se ha detectado un problema de seguridad que necesita atención inmediata.
Poco Urgente	Vacaciones programadas	Recuerda que estoy de vacaciones la próxima semana y no estaré disponible.
Medio	Revisión de documentos	Necesito que revises los documentos antes del viernes.
Urgente	Solicito confirmación de asistencia	Por favor, confirma tu asistencia a la reunión de mañana.
Poco Urgente	Promoción de productos	Consulta nuestra nueva promoción de productos en la tienda.
Urgente	Reunión de emergencia	Hay una reunión de emergencia programada para hoy a las 4 PM. Asistencia obligatoria.
Medio	Actualización de la política de trabajo	Por favor, revisa la actualización de nuestra política de trabajo a distancia.
Medio	Propuesta de colaboración	Estamos interesados en una colaboración potencial. ¿Podemos discutirlo la próxima semana?
Urgente	Problemas con el sistema	El sistema se ha caído y necesita atención inmediata para evitar problemas mayores.
Medio	Recordatorio de entrega	Este es un recordatorio para la entrega de tu informe el lunes.
Poco Urgente	Invitación a la conferencia	Te invito a la conferencia sobre innovación tecnológica. Más detalles en el enlace.
Medio	Solicito tu opinión	Me gustaría saber tu opinión sobre la propuesta que envié anteriormente.
Urgente	Acción requerida: Contraseña	Por favor, actualiza tu contraseña antes de que finalice la semana.
Medio	Consulta sobre proyecto	¿Podrías darme una actualización sobre el estado del proyecto?
Medio	Revisión de políticas de seguridad	Es hora de revisar nuestras políticas de seguridad. Por favor, consulta el documento adjunto.
Urgente	Confirmación de cita	Necesito que confirmes nuestra cita del miércoles a las 2 PM.
Poco Urgente	Newsletter mensual	Aquí tienes nuestra newsletter mensual con las últimas actualizaciones.
Medio	Evaluación del desempeño	Es hora de completar la evaluación de desempeño del equipo.
Urgente	Solicitud de presupuesto	Por favor, envía el presupuesto solicitado antes del fin de semana.
Poco Urgente	Información sobre la nueva herramienta	Hemos lanzado una nueva herramienta que puede facilitar tu trabajo. Más detalles a continuación.
Urgente	Planificación de proyecto	Debemos planificar el proyecto antes del fin de semana.
Urgente	Recordatorio de entrega	Recuerda enviar la entrega final del informe antes del lunes.
Medio	Revisión de documento	Por favor, revisa el documento que te envié ayer.
Urgente	Confirmación de reunión	Confirma tu asistencia a la reunión de estrategia para la próxima semana.
Medio	Actualización de la base de datos	Necesitamos actualizar la base de datos este mes.
Poco Urgente	Consulta sobre el informe	¿Puedes explicarme algunos puntos del informe que enviaste?
Medio	Seguimiento de tareas	Haz un seguimiento del progreso de las tareas asignadas.
Urgente	Notificación de evento	Te notifico sobre el evento programado para este viernes.
Medio	Revisión de políticas de empresa	Por favor, revisa las nuevas políticas de la empresa antes de aplicarlas.
Poco Urgente	Petición de retroalimentación	Agradecería tu retroalimentación sobre el último proyecto.
Medio	Actualización de horario	He actualizado el horario de trabajo para este mes.
Urgente	Confirmación de asistencia	Por favor, confirma tu asistencia a la conferencia el próximo mes.
Poco Urgente	Consulta sobre la próxima entrega	¿Tienes información sobre la próxima entrega del proyecto?
Urgente	Recordatorio de la capacitación	No olvides asistir a la capacitación programada para mañana.
Medio	Verificación de inventario	Verifica el inventario antes de hacer el pedido.
Urgente	Confirmación de cita	Confirma tu cita con el cliente para la próxima semana.
Poco Urgente	Planificación de vacaciones	Hablemos sobre la planificación de tus vacaciones para este año.
Urgente	Cambio en los requisitos	Hay un cambio en los requisitos del proyecto, revisa el correo.
Medio	Seguimiento de la entrega	Haciendo seguimiento de la entrega pendiente, ¿tienes novedades?
Poco Urgente	Notificación de cambios en el equipo	Se han hecho cambios en el equipo, revisa los detalles.
Urgente	Solicitud de propuesta	Por favor, envía la propuesta para el nuevo proyecto lo antes posible.
Urgente	Reunión de evaluación	La reunión de evaluación del proyecto será el próximo lunes a las 10 AM.
Urgente	Revisión de contrato	Es urgente que revises el contrato antes de firmarlo.
Urgente	Anuncio de lanzamiento	Anuncio el lanzamiento del nuevo producto para el próximo mes.
Urgente	Actualización sobre el proyecto	Por favor, actualiza sobre el estado del proyecto al final del día.
Medio	Recordatorio de seguimiento	No olvides hacer seguimiento a los clientes esta semana.
Medio	Consulta sobre el presupuesto	Necesito que me des tu opinión sobre el presupuesto presentado.
Medio	Informe de progreso	Envía el informe de progreso antes del fin de semana.
Medio	Reunión de equipo	La reunión del equipo está programada para el miércoles a las 3 PM.
Poco Urgente	Actualización de contactos	Asegúrate de que la lista de contactos esté actualizada.
Medio	Seguimiento de proveedores	Haz un seguimiento de los proveedores sobre la entrega programada.
Urgente	Confirmación de cambios de horario	Por favor, confirma los cambios realizados en el horario.
Urgente	Reunión de feedback	La reunión de feedback está programada para el jueves a las 1 PM.
Urgente	Confirmación de la reunión de cierre	Confirma tu asistencia a la reunión de cierre del proyecto.
Urgente	Solicitud de actualización	Necesito una actualización sobre el estado del proyecto a la brevedad.
Urgente	Revisión de especificaciones	Por favor, revisa las especificaciones del proyecto antes de la reunión.
Medio	Aviso de cambio de procedimiento	Te informo sobre un cambio en los procedimientos internos.
Urgente	Confirmación de entregas	Por favor, confirma la entrega de los materiales para mañana.
Medio	Consulta sobre la tarea asignada	¿Tienes alguna pregunta sobre la tarea que te asigné?
Medio	Seguimiento a clientes potenciales	Haz un seguimiento a los clientes potenciales esta semana.
Poco Urgente	Recordatorio de actividades	Recuerda las actividades programadas para esta semana.
Urgente	Planificación de eventos	Necesitamos planificar el evento anual con anticipación.
Medio	Revisión de documentos de ventas	Por favor, revisa los documentos de ventas antes de enviarlos.
Urgente	Notificación de reunión	Te notifiqué sobre la reunión programada para mañana.
Medio	Consulta sobre resultados de ventas	¿Cuáles son los resultados de ventas del último trimestre?
Urgente	Recordatorio de pagos	Recuerda que los pagos deben ser procesados antes del fin de mes.
Medio	Actualización de calendario	Asegúrate de que el calendario esté actualizado con los eventos próximos.
Urgente	Confirmación de materiales	Confirma que los materiales necesarios estarán disponibles para el evento.
Poco Urgente	Solicitud de feedback del cliente	Necesitamos feedback del cliente sobre el último proyecto.
Urgente	Anuncio de cambios en el equipo	Anuncio cambios en la estructura del equipo, revisa el correo.
Urgente	Petición de recursos	Por favor, envía los recursos necesarios para la reunión de mañana.
Urgente	Recordatorio de la evaluación anual	No olvides la evaluación anual programada para el próximo mes.
Medio	Consulta sobre la capacitación	¿Tienes información sobre la capacitación programada para la próxima semana?
Urgente	Recordatorio de presupuesto	Recuerda que el presupuesto debe ser revisado antes del viernes.
Urgente	Solicitud de firma	Por favor, firma el contrato y devuélvelo a la brevedad.
Urgente	Confirmación de reunión de equipo	Confirma tu asistencia a la reunión del equipo el jueves a las 10 AM.
Urgente	Actualización de estado de proyecto	Necesitamos una actualización del estado del proyecto antes de la reunión.
Medio	Consulta sobre las métricas	¿Podrías proporcionar las métricas de rendimiento del último mes?
Urgente	Anuncio de reunión de estrategia	Anuncio una reunión para discutir la estrategia de ventas el viernes.
Urgente	Revisión de materiales de marketing	Por favor, revisa los materiales de marketing antes del lanzamiento.
Medio	Seguimiento de tareas pendientes	Asegúrate de que todas las tareas pendientes estén completadas antes de la revisión.
Medio	Notificación de eventos próximos	Te notifico sobre los eventos programados para la próxima semana.
Urgente	Confirmación de asistencia al evento	Confirma tu asistencia al evento del próximo mes.
Poco Urgente	Consulta sobre el informe de auditoría	¿Tienes información sobre el informe de auditoría que se realizó?
Urgente	Recordatorio de fechas límites	No olvides que hay fechas límites importantes esta semana.
Urgente	Solicitud de recursos adicionales	Por favor, envíame recursos adicionales para completar el proyecto.
Medio	Verificación de cumplimiento	Asegúrate de que se cumplan todos los requisitos de cumplimiento.
Medio	Consulta sobre el cambio de estrategia	¿Podemos hablar sobre el cambio de estrategia que propusiste?
Poco Urgente	Notificación de vacaciones	Te informo que estaré de vacaciones la próxima semana.
Medio	Revisión de la política de privacidad	Por favor, revisa la política de privacidad actualizada.
Medio	Consulta sobre la planificación de eventos	¿Podemos discutir la planificación del próximo evento?
Poco Urgente	Recordatorio de citas	No olvides tus citas programadas para esta semana.
Urgente	Actualización sobre la campaña	Por favor, proporciona una actualización sobre la campaña actual.
Urgente	Confirmación de la presentación	Confirma tu asistencia a la presentación del nuevo producto.
Urgente	Solicitud de corrección	Por favor, realiza las correcciones necesarias en el informe.
Urgente	Reunión para la revisión del proyecto	Necesitamos reunirnos para revisar el progreso del proyecto.
Urgente	Notificación de cambio de fecha	Te notifico que la fecha de la reunión ha cambiado a viernes.
Medio	Consulta sobre el informe de ventas	¿Puedes enviarme el informe de ventas del mes pasado?
Urgente	Recordatorio de la entrega	Recuerda que la entrega de los documentos es mañana.
Medio	Revisión del cronograma	Por favor, revisa el cronograma de tareas para el próximo mes.
Poco Urgente	Actualización de información del cliente	Asegúrate de que la información del cliente esté actualizada.
Medio	Consulta sobre el procedimiento de reclutamiento	¿Cuál es el procedimiento para el reclutamiento de nuevos empleados?
Medio	Seguimiento de correos enviados	Asegúrate de hacer seguimiento a los correos enviados esta semana.
Medio	Revisión de políticas de trabajo remoto	Por favor, revisa las políticas de trabajo remoto actualizadas.
Poco Urgente	Notificación de cambios en el horario laboral	Te informo sobre los cambios en el horario laboral para el próximo mes.
Medio	Planificación de la capacitación	Necesitamos planificar la capacitación del personal para el próximo trimestre.
Urgente	Solicitud de información adicional	Por favor, envíame información adicional sobre el proyecto.
Urgente	Confirmación de asistencia al seminario	Confirma tu asistencia al seminario programado para la próxima semana.
Medio	Consulta sobre cambios en el equipo	¿Podemos discutir los cambios recientes en el equipo?
Urgente	Revisión de presupuestos	Por favor, revisa los presupuestos propuestos antes de la reunión.
Poco Urgente	Notificación de finalización de proyectos	Te informo que el proyecto ha sido completado.
Urgente	Recordatorio de la evaluación de desempeño	No olvides la evaluación de desempeño programada para esta semana.
Urgente	Solicitud de asistencia técnica	Necesito asistencia técnica para resolver un problema urgente.
Medio	Revisión médica anual	Tu revisión médica anual está programada para la próxima semana. Por favor, confirma tu asistencia.
Urgente	Recordatorio de cita médica	Tienes una cita médica programada para mañana a las 10:00 AM. No olvides llevar tus documentos.
Medio	Receta médica lista	Tu receta está lista para ser recogida en la farmacia. Recuerda pasar antes del cierre.
Medio	Pasear al perro	No olvides sacar a pasear al perro esta tarde. Lleva su juguete favorito.
Poco Urgente	Revisión dental	Es hora de agendar tu revisión dental semestral. Por favor, contacta a la clínica para reservar una fecha.
Poco Urgente	Visita de amigos	Este fin de semana vienen los amigos a casa. Debemos organizar algo para la cena.
Urgente	Cambio de medicación	El doctor ha actualizado tu medicación. Por favor, recoge la nueva receta lo antes posible.
Medio	Hora de baño	Recuerda que es día de baño. Necesitamos reponer el gel de baño que se acabó.
Urgente	Vacuna para la gripe	Es momento de aplicarse la vacuna contra la gripe. Consulta con tu médico para agendar una cita.
Poco Urgente	Salir con amigos	Tenemos una salida planeada para el sábado por la noche. ¿Te gustaría venir?
Medio	Actualización de medicamentos	Tu tratamiento ha sido actualizado. El nuevo medicamento estará disponible para recoger en dos días.
Medio	Medicamentos para el dolor	No olvides tomar los medicamentos para el dolor según lo recetado. Si empeoran los síntomas, contacta al médico.
Medio	Revisión médica anual	Tu revisión médica anual está programada para la próxima semana. Por favor, confirma tu asistencia.
Poco Urgente	Paseo en el parque	¿Te gustaría salir a dar un paseo por el parque esta tarde? Hace buen clima.
Urgente	Cambio de horario para la cirugía	Se ha cambiado el horario de la cirugía. La nueva hora es a las 8:00 AM del lunes.
Medio	Compra de medicamentos	Es necesario comprar los medicamentos recetados antes del fin de semana. La farmacia cierra temprano.
Urgente	Cita con el fisioterapeuta	Recuerda tu cita con el fisioterapeuta para la rehabilitación. Es importante no faltar.
Poco Urgente	Limpieza de la casa	Tenemos que hacer la limpieza general de la casa este fin de semana. Organízate para que podamos terminar rápido.
Medio	Resultados de análisis clínicos	Loss resultados de tus análisis están listos para ser recogidos. Puedes pasar por el laboratorio mañana.
Urgente	Preparación para visita al médico	Prepara todos tus informes médicos para la cita del próximo martes.
Poco Urgente	Entrenamiento en el gimnasio	Hoy toca entrenamiento en el gimnasio. No olvides llevar tu botella de agua y toalla.
Medio	Cambio de dieta	El nutricionista ha recomendado algunos cambios en tu dieta. Nos reunimos la próxima semana para discutirlos.
Poco Urgente	Organización de una reunión familiar	Estamos planeando una reunión familiar para el próximo mes. Ayúdanos a organizar los detalles.
Urgente	Recordatorio de vacunación	No olvides que tienes que ponerte la vacuna de refuerzo el próximo viernes.
Medio	Nueva rutina de ejercicios	El entrenador ha actualizado tu rutina de ejercicios. Revisa los cambios antes de la próxima sesión.
Urgente	Cita con el dermatólogo	Tu cita con el dermatólogo ha sido programada para el próximo miércoles. Lleva el historial de tratamientos previos.
Poco Urgente	Revisión de la vista	Es tiempo de agendar tu revisión anual de la vista. Llama a la óptica para programar una cita.
Medio	Reparación del coche	El coche necesita una revisión en el taller. Agenda una cita para el mantenimiento este mes.
Poco Urgente	Plan para salir a cenar	Estamos organizando una cena para el próximo viernes. ¿Quieres unirte?
Urgente	Consulta sobre análisis de sangre	El médico necesita discutir los resultados de tus análisis de sangre. Te recomendamos que vayas lo antes posible.
Poco Urgente	Tareas del jardín	Este fin de semana toca cortar el césped y regar las plantas.
Medio	Chequeo de presión arterial	Es recomendable que controles tu presión arterial semanalmente. Tómate un momento para hacerlo hoy.
Urgente	Visita al cardiólogo	Recuerda que tienes una cita con el cardiólogo mañana por la tarde. Es importante no faltar.
Medio	Paseo con el perro	Hoy el perro necesita un paseo más largo. Aprovecha para ir al parque.
Medio	Revisión de la vista	Tu revisión de la vista está programada para el viernes. Lleva tus gafas para el examen.
Poco Urgente	Reunión familiar	Este domingo tenemos reunión familiar en casa de los abuelos. No olvides traer postre.
Urgente	Renovación de receta	Debes renovar la receta del medicamento antes del fin de mes. Consulta con el médico para programar una cita.
Medio	Preparación para viaje	Empieza a preparar tu maleta para el viaje de la próxima semana. No olvides llevar tus medicamentos.
Poco Urgente	Cuidado de las plantas	Es momento de regar las plantas del jardín. Hace varios días que no llueve.
Urgente	Vacuna para el perro	El perro necesita su vacuna anual. Consulta con el veterinario para agendar una cita.
Poco Urgente	Clase de yoga	Hoy hay clase de yoga a las 6:00 PM. No olvides llevar tu esterilla y ropa cómoda.
Urgente	Cobro de intereses	Los intereses de la tarjeta de crédito se han acumulado. Realiza el pago lo antes posible para evitar cargos adicionales.
Urgente	Pago de factura atrasado	La factura del servicio de internet está atrasada. Por favor, realiza el pago antes del fin de semana.
Medio	Revisión del presupuesto	Es necesario revisar el presupuesto del proyecto para el próximo trimestre. Programe una reunión.
Medio	Actualización de tarifas	Las tarifas para nuestros servicios han cambiado. Consulta el nuevo listado de precios.
Urgente	Pago de alquiler	El pago del alquiler está próximo a vencer. Asegúrate de realizar la transferencia antes del día 5.
Medio	Solicitud de reembolso	Envía los documentos necesarios para procesar el reembolso de los gastos de viaje.
Urgente	Revisión de contrato	El contrato para el nuevo proveedor necesita ser revisado y firmado. Por favor, confirma tu disponibilidad.
Poco Urgente	Informe financiero trimestral	El informe financiero del trimestre pasado está listo. Programemos una reunión para discutir los resultados.
Urgente	Pago de suscripción	La suscripción al servicio de software está por vencer. Renueva el pago para evitar la suspensión del servicio.
Medio	Propuesta de negocio	Tengo una propuesta de negocio que podría ser interesante. Hablemos para revisar los detalles.
Medio	Actualización del plan de negocios	El plan de negocios ha sido actualizado con los cambios recientes. Revísalo antes de la próxima junta.
Urgente	Pago de factura de servicios	La factura de servicios del mes pasado está pendiente. Realiza el pago para evitar la suspensión.
Medio	Renovación de seguro	El seguro de salud está próximo a vencer. No olvides renovarlo antes de fin de mes.
Urgente	Transferencia de fondos	Se necesita aprobar la transferencia de fondos para el proyecto en curso. Por favor, revisa y aprueba.
Medio	Revisión de los estados de cuenta	Los estados de cuenta del último mes ya están disponibles. Revisa para verificar movimientos sospechosos.
Urgente	Pagos de proveedores	Asegúrate de realizar los pagos pendientes a los proveedores antes de la fecha límite.
Medio	Negociación de contrato	La negociación del contrato con el cliente está programada para la próxima semana. Necesitamos definir los términos.
Urgente	Pago de impuestos	El pago de impuestos está próximo. Verifica que toda la documentación esté en regla para evitar multas.
Medio	Cotización para servicios	La cotización para los servicios solicitados ha sido enviada. Confirma la recepción y revisa los detalles.
Poco Urgente	Reunión sobre inversiones	Se programó una reunión para discutir nuevas oportunidades de inversión. No faltes, es importante.
Poco Urgente	Descuento por pago anticipado	Recuerda que puedes aprovechar un descuento si realizas el pago anticipado de la suscripción anual.
Urgente	Pago de la tarjeta de crédito	La fecha límite para el pago de la tarjeta de crédito es mañana. Evita cargos adicionales realizando el pago hoy.
Medio	Revisión de inversiones	Las inversiones del último trimestre necesitan ser evaluadas. Programe una reunión para analizar los resultados.
Medio	Actualización del balance general	El balance general ha sido actualizado con los últimos movimientos. Por favor, revisa y aprueba.
Urgente	Pago de facturas múltiples	Hay varias facturas pendientes de pago este mes. Asegúrate de cubrirlas antes de la fecha límite.
Medio	Propuesta de asociación	Recibimos una propuesta para una posible asociación comercial. Revísala y hagamos una videollamada para discutir.
Urgente	Cambio de términos de crédito	Los términos del crédito han cambiado. Es importante revisar los nuevos requisitos y condiciones.
Medio	Recordatorio de vencimiento de seguro	El seguro del vehículo vencerá la próxima semana. No olvides renovarlo para evitar inconvenientes.
Poco Urgente	Informe de pérdidas y ganancias	El informe de pérdidas y ganancias del último trimestre ya está disponible. Programe una revisión con el equipo.
Urgente	Renovación de contrato	El contrato con el cliente vence este mes. Contacta al cliente para iniciar el proceso de renovación.
Urgente	Pendiente de liquidación	Hay un monto pendiente de liquidación por los gastos del último mes. Completa el proceso a la brevedad.
Medio	Confirmación de pago recibido	Hemos recibido tu pago para la factura de servicios. Gracias por mantenerte al día.
Urgente	Próximo pago de hipoteca	El próximo pago de la hipoteca se debe realizar en tres días. Asegúrate de tener fondos suficientes.
Medio	Reunión sobre estrategia financiera	Programe una reunión para discutir la estrategia financiera del próximo año. Necesitamos definir los objetivos.
Medio	Actualización de la cuenta bancaria	El banco ha realizado cambios en las políticas de la cuenta. Por favor, revisa los detalles para estar al tanto.
Urgente	Cobro de servicios atrasados	Tienes servicios atrasados por pagar. Realiza el pago cuanto antes para evitar la suspensión.
Medio	Propuesta de financiamiento	Hemos recibido una propuesta de financiamiento para el nuevo proyecto. Revísala y proporciona tu opinión.
Urgente	Pago de servicios legales	Hay una factura pendiente por los servicios legales prestados. El pago vence mañana.
Poco Urgente	Solicitud de crédito aprobada	Tu solicitud de crédito ha sido aprobada. Contacta al banco para proceder con los siguientes pasos.
Medio	Revisión del plan de ahorro	Revisa el plan de ahorro y realiza los ajustes necesarios para alcanzar tus objetivos financieros.
Medio	Aumento en las tarifas de servicios	Notificamos un aumento en las tarifas de nuestros servicios a partir del próximo mes. Revisa los nuevos precios.
Urgente	Recordatorio de pago de factura	Este es un recordatorio de que la factura de electricidad vence en dos días. Por favor, realiza el pago a tiempo.
Medio	Confirmación de pago a proveedores	Hemos procesado tu pago a los proveedores. Asegúrate de verificar la recepción en su cuenta.
Medio	Ajuste en el presupuesto	Se requiere un ajuste en el presupuesto del proyecto. Revisa y presenta las modificaciones necesarias.
Poco Urgente	Actualización sobre el préstamo	La solicitud de préstamo está en proceso. Espera una actualización en los próximos días.
Urgente	Pago de servicios de marketing	El pago por los servicios de marketing digital está pendiente. Realiza el pago para evitar interrupciones en la campaña.
Medio	Revisión de gastos	Es hora de revisar los gastos del último mes. Asegúrate de enviar tus informes antes de la reunión del viernes.
Urgente	Consulta sobre facturación	¿Podrías aclarar las discrepancias en la factura enviada? Es importante resolverlo pronto.
Medio	Propuesta de inversión recibida	Hemos recibido una nueva propuesta de inversión. Revísala y hagamos un seguimiento.
Poco Urgente	Confirmación de pago de suscripción	Tu pago de suscripción ha sido confirmado. Gracias por tu preferencia.
Urgente	Recordatorio de tratamiento	Recuerde que debe iniciar su tratamiento a partir de mañana. Es vital para su recuperación.
Urgente	Operación de hígado	Su operación de hígado ha sido reprogramada para el viernes 10/11. Es crucial que confirme su asistencia lo antes posible.
Urgente	Cirugía de apendicitis	Atención: Su cirugía de apendicitis está programada para mañana a las 8:00 AM. Por favor, llegue con una hora de anticipación.
Urgente	Exámenes médicos	Los resultados de sus exámenes médicos están disponibles. Es necesario que venga a la consulta para discutirlos lo antes posible.
Urgente	Tratamiento oncológico	Se ha adelantado su tratamiento oncológico para este jueves. Es importante que esté presente para recibir la terapia.
Urgente	Consulta de emergencia	Su consulta médica ha sido programada para hoy. Debe asistir debido a la gravedad de su condición.
Urgente	Cambio de medicación	Es imperativo que recoja su nueva medicación antes del fin de semana. Su salud depende de este cambio.
Urgente	Cita para análisis	Su cita para los análisis de sangre se ha fijado para mañana. Asegúrese de asistir, es crucial para el diagnóstico.
Urgente	Urgente: Hospitalización	Ha sido admitido para observación médica. Por favor, asegúrese de que su familia esté informada.
Urgente	Control post-operatorio	Su control post-operatorio se ha programado para el lunes. Es esencial para evaluar su recuperación.
Urgente	Fuego en la zona industrial	Un fuego ha estallado en la zona industrial. Los bomberos están trabajando para controlar la situación. Mantenga la distancia.
Urgente	Incendio en el edificio	Atención: Se ha declarado un incendio en el edificio. Evacúe inmediatamente y diríjase al punto de reunión.
Urgente	Accidente de tráfico	Se ha producido un accidente de tráfico grave en la avenida principal. Se recomienda evitar la zona y seguir las indicaciones de la policía.
Urgente	Incendio forestal	Alertamos sobre un incendio forestal en las cercanías. Mantenga distancia y esté atento a las instrucciones de evacuación.
Urgente	Accidente policial	Un vehículo policial ha estado involucrado en un accidente. Se están realizando investigaciones en el lugar. Por favor, evite la zona.
Urgente	Emergencia en el hogar	Se ha reportado un incendio en una vivienda. Los bomberos están en camino, pero se solicita a los vecinos mantenerse alejados.
Urgente	Colapso de edificio	Ha ocurrido un colapso en un edificio. Los servicios de emergencia están atendiendo la situación. Evite la zona hasta nuevo aviso.
Urgente	Explosión en la fábrica	Se ha registrado una explosión en la fábrica local. Los equipos de emergencia están en el lugar. Por favor, mantenga la distancia.
Urgente	Incendio en el parque	Se ha declarado un incendio en el parque central. Se recomienda a los visitantes que salgan inmediatamente y se dirijan a áreas seguras.
Urgente	Accidente en la carretera	Se ha producido un accidente múltiple en la carretera. Se están desviando los vehículos. Evite el área y siga las indicaciones.
Urgente	Incendio en la escuela	Se ha declarado un incendio en la escuela. Todos los estudiantes deben evacuar inmediatamente y dirigirse al punto de reunión designado.
Urgente	Incendio en el vecindario	Se ha reportado un incendio en el vecindario. Todos los residentes deben evacuar inmediatamente y seguir las instrucciones de los bomberos.
Urgente	Accidente de tren	Ha ocurrido un accidente en la línea de tren. Se recomienda evitar el área y buscar rutas alternativas.
Urgente	Alerta de incendio	Se emite una alerta de incendio en la zona. Los residentes deben estar preparados para evacuar si es necesario.
Urgente	Accidente de autobús	Un autobús ha tenido un accidente en la carretera. Los servicios de emergencia están en camino. Por favor, evite el área.
Urgente	Incendio en la planta química	Se ha desatado un incendio en la planta química. Los bomberos están trabajando para controlar la situación. Mantenga distancia.
Urgente	Colisión de vehículos	Se ha reportado una colisión entre varios vehículos en la autopista. Las autoridades están gestionando la situación. Evite la zona.
Urgente	Emergencia por humo	Se ha detectado un incendio en el edificio. Evacúe inmediatamente y diríjase a un lugar seguro.
Urgente	Incendio en el bosque	Un incendio forestal está avanzando rápidamente. Se recomienda a los residentes en áreas cercanas que se preparen para evacuar.
Urgente	Accidente en la intersección	Un accidente grave ha ocurrido en la intersección de la calle X y Y. La policía está en el lugar, evite la zona.
Poco Urgente	Recordatorio de compras	Solo un recordatorio amigable de que debes comprar fideos la próxima vez que salgas.
Poco Urgente	Compra de fideos	Recuerda agregar fideos a tu lista de compras para la próxima vez que vayas al supermercado.
Poco Urgente	Sugerencia de cena	Ten en cuenta que podrías preparar fideos para la cena algún día esta semana.
Poco Urgente	Planificación de comidas	Pensando en la cena de esta semana, ¿qué te parece si incluyes fideos en el menú?
Poco Urgente	Revisión de recetas	Si buscas algo fácil de hacer, no olvides que puedes hacer fideos. ¡Es una opción rápida!
Poco Urgente	Lista de compras	No te olvides de revisar tu lista de compras y agregar fideos para la próxima vez que salgas.
Poco Urgente	Sugerencia de cena fácil	Si no sabes qué cocinar, los fideos son una buena opción para una cena rápida.
Poco Urgente	Recomendación de ingredientes	Asegúrate de tener fideos en casa, son útiles para muchas recetas.
